
Starting Nmap 7.60 ( https://nmap.org ) at 2018-08-14 13:35 CST
NSE: Loaded 1 scripts for scanning.
NSE: Script Pre-scanning.
NSE: Starting runlevel 1 (of 1) scan.
Discovered open port 21/tcp on 101.81.227.152[上海市 电信]
Discovered open port 21/tcp on 101.81.238.152[上海市 电信]
Discovered open port 21/tcp on 101.81.254.188[上海市 电信]
Discovered open port 21/tcp on 101.81.8.189[上海市 电信]
Discovered open port 21/tcp on 101.81.165.221[上海市 电信]
Discovered open port 21/tcp on 101.81.231.221[上海市 电信]
Discovered open port 21/tcp on 101.81.231.251[上海市 电信]
Discovered open port 21/tcp on 101.81.52.252[上海市 电信]
Completed SYN Stealth Scan at 13:35, 5.42s elapsed (425 total ports)
NSE: Script scanning 425 hosts.
NSE: Starting runlevel 1 (of 1) scan.
Initiating NSE at 13:35
NSE Timing: About 79.38% done; ETC: 13:36 (0:00:08 remaining)
Completed NSE at 13:36, 49.85s elapsed
Nmap scan report for 101.81.58.173[上海市 电信]
Host is up, received user-set (0.067s latency).
Scanned at 2018-08-14 13:35:42 CST for 33s

PORT   STATE SERVICE REASON
21/tcp open  ftp     syn-ack ttl 57

Nmap scan report for 101.81.124.19[上海市 电信]
Host is up, received user-set.
Scanned at 2018-08-14 13:35:42 CST for 2s

PORT   STATE    SERVICE REASON
21/tcp filtered ftp     no-response

Nmap scan report for 101.81.226.253[上海市 电信]
Host is up, received user-set (0.064s latency).
Scanned at 2018-08-14 13:35:42 CST for 27s

PORT   STATE SERVICE REASON
21/tcp open  ftp     syn-ack ttl 56

Nmap scan report for 101.81.110.187[上海市 电信]
Host is up, received user-set (0.083s latency).
Scanned at 2018-08-14 13:35:42 CST for 21s

PORT   STATE SERVICE REASON
21/tcp open  ftp     syn-ack ttl 247

